ID_Pagamento,ID_Cliente,ID_Plano,Data_Pagamento,Status_Pagamento,ID_Unidade
1,1310,1,2025-04-05,Pago,3
2,502,2,2024-09-12,Pago,1
3,1386,6,2024-08-09,Atrasado,1
4,1210,4,2025-05-14,Pago,1
5,448,2,2024-11-14,Pago,1
6,1150,2,2024-11-03,Pago,5
7,860,2,2024-10-25,Pago,3
8,1658,1,2024-09-23,Pago,2
9,1430,4,2025-05-13,Pago,2
10,441,3,2024-09-08,Pago,4
11,199,3,2025-04-19,Pago,5
12,542,1,2025-05-14,Pago,5
13,256,4,2025-07-12,Pago,3
14,1699,6,2025-02-27,Pago,3
15,1183,2,2024-09-02,Pago,1
16,1355,2,2025-03-17,Pago,1
17,1752,2,2025-01-10,Atrasado,4
18,570,4,2024-08-12,Pago,3
19,334,3,2024-08-11,Pago,3
20,1438,6,2024-09-05,Pago,5
21,1301,2,2024-10-23,Pago,2
22,335,4,2024-10-29,Pago,5
23,450,6,2025-02-12,Pago,1
24,470,1,2025-03-21,Pago,4
25,549,1,2024-08-10,Pago,5
26,1795,6,2025-03-05,Pago,4
27,811,6,2024-10-16,Pago,3
28,286,2,2025-05-05,Pago,5
29,539,6,2025-04-09,Pago,5
30,818,3,2025-04-29,Pago,2
31,1044,4,2025-02-27,Pago,1
32,1764,1,2025-01-09,Pago,2
33,1623,6,2024-10-24,Pago,1
34,789,4,2025-01-21,Pago,4
35,1084,3,2025-03-16,Estornado,1
36,1394,6,2024-11-16,Pago,5
37,1538,3,2025-06-10,Pago,3
38,229,3,2025-07-03,Pago,4
39,7,6,2024-08-02,Atrasado,3
40,1991,5,2025-05-21,Pago,5
41,1870,1,2025-06-08,Atrasado,3
42,1724,6,2024-10-01,Pago,2
43,314,3,2025-04-28,Pago,5
44,1953,5,2025-01-11,Atrasado,5
45,664,4,2024-12-10,Pago,3
46,1800,3,2024-11-15,Pago,2
47,1799,5,2024-09-29,Atrasado,1
48,1499,4,2024-10-22,Pago,5
49,1569,2,2025-05-23,Pago,4
50,1940,5,2024-12-08,Pago,5
51,1787,5,2024-09-08,Pago,2
52,1903,5,2024-09-05,Pago,2
53,1461,3,2024-12-25,Pago,3
54,898,5,2024-09-06,Pago,2
55,461,1,2024-12-17,Pago,5
56,1135,2,2025-06-25,Pago,1
57,146,6,2024-12-11,Pago,2
58,139,1,2025-03-22,Atrasado,1
59,1053,2,2024-11-10,Pago,4
60,439,5,2025-06-09,Pago,5
61,1181,4,2024-08-16,Pago,4
62,1654,4,2025-05-10,Pago,1
63,1350,4,2025-01-25,Pago,4
64,957,6,2025-02-24,Pago,1
65,125,4,2024-09-17,Pago,1
66,510,2,2025-07-24,Pago,4
67,288,4,2024-12-25,Pago,4
68,512,1,2024-08-30,Pago,5
69,201,1,2025-03-02,Pago,5
70,1713,1,2024-11-21,Estornado,2
71,341,4,2025-06-18,Pago,2
72,1771,4,2025-04-01,Atrasado,2
73,777,1,2025-03-28,Estornado,3
74,1898,4,2025-07-09,Pago,5
75,1356,6,2025-06-30,Pago,2
76,608,2,2024-12-18,Estornado,5
77,1507,5,2025-03-12,Pago,3
78,118,1,2024-10-13,Pago,5
79,1883,5,2025-04-30,Pago,5
80,165,2,2024-08-27,Pago,1
81,1383,2,2024-08-17,Pago,5
82,505,5,2025-04-13,Pago,5
83,168,4,2024-10-27,Pago,5
84,1071,3,2025-05-27,Atrasado,2
85,1372,6,2024-11-20,Pago,3
86,811,2,2024-08-30,Pago,3
87,937,3,2025-06-28,Atrasado,1
88,20,4,2024-10-29,Pago,5
89,205,1,2025-07-02,Pago,5
90,544,2,2024-09-08,Atrasado,1
91,1801,2,2024-12-25,Pago,2
92,898,5,2024-11-15,Pago,5
93,1653,6,2025-01-23,Pago,5
94,614,6,2025-04-03,Pago,2
95,542,1,2025-06-19,Atrasado,5
96,319,3,2024-12-19,Pago,2
97,1470,3,2024-10-02,Pago,3
98,1036,4,2024-12-21,Pago,1
99,190,6,2024-12-15,Pago,3
100,91,1,2024-10-20,Pago,2
101,1305,3,2025-04-17,Pago,4
102,1130,6,2024-11-11,Pago,1
103,230,1,2025-04-29,Atrasado,2
104,1118,1,2025-07-29,Pago,5
105,1132,2,2025-04-22,Pago,1
106,632,3,2025-04-08,Atrasado,1
107,1841,3,2024-08-27,Pago,2
108,1366,1,2025-03-24,Pago,5
109,1811,4,2025-04-03,Estornado,2
110,1896,2,2024-10-05,Atrasado,2
111,1806,4,2025-02-23,Pago,3
112,1603,4,2025-05-10,Pago,2
113,547,2,2024-11-03,Pago,1
114,784,1,2024-10-02,Atrasado,2
115,409,4,2025-01-26,Pago,2
116,457,1,2024-12-25,Pago,4
117,673,3,2024-11-12,Atrasado,3
118,720,6,2025-07-25,Pago,5
119,679,1,2025-04-05,Pago,3
120,366,5,2025-04-24,Estornado,3
121,79,1,2025-03-04,Pago,3
122,1493,3,2024-10-24,Pago,5
123,237,4,2025-04-22,Atrasado,2
124,522,1,2024-12-03,Pago,1
125,1065,5,2025-06-23,Pago,2
126,746,4,2025-05-25,Pago,3
127,1277,3,2025-05-28,Pago,1
128,1475,3,2024-08-21,Pago,4
129,669,4,2024-10-27,Pago,5
130,261,2,2025-06-15,Pago,4
131,1388,6,2024-08-12,Atrasado,5
132,1166,3,2025-06-08,Pago,1
133,623,3,2024-11-30,Pago,5
134,1243,6,2025-01-02,Pago,4
135,906,6,2024-11-11,Pago,4
136,1626,6,2024-08-25,Pago,1
137,582,5,2024-10-20,Pago,5
138,687,1,2025-07-20,Pago,2
139,1378,3,2025-03-08,Pago,2
140,302,1,2025-07-06,Pago,4
141,1252,1,2025-05-05,Pago,5
